character,count0,count1,count2,count3,count4,count5,count6
a,5385,3737,705,62,2,0,0
b,8821,1028,40,2,0,0,0
c,7239,2324,320,8,0,0,0
d,7638,2028,216,9,0,0,0
e,4271,3982,1360,254,24,0,0
f,9058,750,83,0,0,0,0
g,8297,1494,94,6,0,0,0
h,8549,1275,64,3,0,0,0
i,5555,3403,792,129,12,0,0
j,9715,174,2,0,0,0,0
k,9326,550,15,0,0,0,0
l,7102,2388,389,11,1,0,0
m,8156,1590,140,5,0,0,0
n,5901,3268,647,73,2,0,0
o,6372,2895,581,42,1,0,0
p,8089,1607,189,6,0,0,0
q,9771,119,1,0,0,0,0
r,5756,3489,603,42,1,0,0
s,5817,3247,722,88,16,1,0
t,5917,3280,647,47,0,0,0
u,8068,1737,82,4,0,0,0
v,9066,808,17,0,0,0,0
w,9275,606,9,1,0,0,0
x,9645,243,3,0,0,0,0
y,8893,981,17,0,0,0,0
z,9764,120,7,0,0,0,0
